	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
267	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Phocoenidae,Neophocaena,Neophocaena phocaenoides	Neophocaena phocaenoides		34892	Finless porpoise	Artiodactyla	6.0	32500.0		24.28	33.0	no age record available	no age record available	no age record available	no age record available	33.0	1.36		
268	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Phocoenidae,Phocoena,Phocoena phocoena	Phocoena phocoena		9742	Harbor porpoise	Artiodactyla	2.89	52500.0		26.54	20.4	no age record available	no age record available	no age record available	no age record available	20.4	0.77		
269	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Phocoenidae,Phocoenoides,Phocoenoides dalli	Phocoenoides dalli	Available	9744	Dall's porpoise	Artiodactyla	5.0	120000.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	30.95	22.0	10.0	11.0	11.62	12.71	13.22	0.43		
270	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Physeteridae,Kogia,Kogia breviceps	Kogia breviceps		27615	Pygmy sperm whale	Artiodactyla	3.67	424600.0		39.16	17.0	no age record available	no age record available	no age record available	no age record available	17.0	0.43	12.37	
271	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Physeteridae,Physeter,Physeter macrocephalus	Physeter macrocephalus	Available	9755	Sperm whale	Artiodactyla	8.0	28500000.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	85.63	77.0	52.0	54.0	56.12	60.0	61.19	0.71		
272	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Platanistidae,Platanista,Platanista gangetica	Platanista gangetica		118798	Ganges dolphin	Artiodactyla	10.0	70000.0		28.0	28.0	no age record available	no age record available	no age record available	no age record available	28.0	1.0		28.0
273	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Platanistidae,Platanista,Platanista minor	Platanista minor		48752	Indus dolphin	Artiodactyla	10.0	22500.0	Mass filled from web encyclopedia; 	22.67	28.0	no age record available	no age record available	no age record available	no age record available	28.0	1.23		
274	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Pontoporiidae,Pontoporia,Pontoporia blainvillei	Pontoporia blainvillei	Available	48723	Franciscana	Artiodactyla	2.5	40500.0	Curated max observed in Malddaba_life_table, determined from living animals, modeled from existing data, or determined from live individuals using methylation clock, likely underestimation;	25.29	16.0	8.0	9.0	9.92	11.5	11.78	0.47		
275	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Ziphiidae,Berardius,Berardius bairdii	Berardius bairdii		48742	Baird's beaked whale	Artiodactyla	12.0	11380000.0		72.18	84.0	no age record available	no age record available	no age record available	no age record available	84.0	1.16		
276	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Ziphiidae,Hyperoodon,Hyperoodon ampullatus	Hyperoodon ampullatus		48744	Northern bottlenose whale	Artiodactyla	10.0	6500000.0		65.04	37.0	no age record available	no age record available	no age record available	no age record available	37.0	0.57		
