	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
646	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Dipodoidea,Dipodidae,Allactaginae,Scarturus,Scarturus euphraticus	Scarturus euphraticus		2926629	Euphrates jerboa	Rodentia	0.39	232.0	Age at female sexual maturity filled using lineage; 	9.68	4.2	no age record available	no age record available	no age record available	no age record available	4.2	0.43		
647	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Makalata,Makalata didelphoides	Makalata didelphoides		30622	Red-nosed armored tree-rat	Rodentia	0.39	276.0	Age at female sexual maturity filled using lineage; 	10.0	3.1	no age record available	no age record available	no age record available	no age record available	3.1	0.31		
648	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Proechimys,Proechimys guyannensis	Proechimys guyannensis		128105	Cayenne spiny rat	Rodentia	0.41	356.5		10.49	3.5	no age record available	no age record available	no age record available	no age record available	3.5	0.33		
649	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Echimyidae,Proechimys,Proechimys semispinosus	Proechimys semispinosus		1246547	Tome's spiny rat, or Spiny rat	Rodentia	0.4	500.0		11.17	5.8	no age record available	no age record available	no age record available	no age record available	5.8	0.52		
650	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Erethizontidae,Coendou,Coendou prehensilis	Coendou prehensilis		187985	Prehensile-tailed porcupine	Rodentia	1.58	3900.0		16.37	26.6	no age record available	no age record available	no age record available	no age record available	26.6	1.63		
651	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Erethizontidae,Erethizon,Erethizon dorsatum	Erethizon dorsatum	Available	34844	North American porcupine	Rodentia	3.0	8600.0		18.96	23.66	14.63	16.73	17.2	18.86	19.7	1.04	23.66	21.76
652	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Geomyidae,Cratogeomys,Cratogeomys castanops	Cratogeomys castanops		37441	Yellow-faced pocket gopher	Rodentia	0.85	270.0		9.96	4.7	no age record available	no age record available	no age record available	no age record available	4.7	0.47	4.7	2.6
653	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Geomyidae,Geomys,Geomys bursarius	Geomys bursarius		27682	Plains pocket gopher	Rodentia	0.25	176.7		9.2	12.0	no age record available	no age record available	no age record available	no age record available	12.0	1.3		
654	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Leithiinae,Dryomys,Dryomys nitedula	Dryomys nitedula		55145	Forest dormouse	Rodentia	1.25	26.0	Age at female sexual maturity filled using lineage; 	6.44	4.1	no age record available	no age record available	no age record available	no age record available	4.1	0.64		
655	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Leithiinae,Eliomys,Eliomys quercinus	Eliomys quercinus		53277	Garden dormouse	Rodentia	1.0	82.5		7.99	5.5	no age record available	no age record available	no age record available	no age record available	5.5	0.69		
656	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Glirinae,Glis,Glis glis	Glis glis		41261	Fat dormouse	Rodentia	0.88	125.0		8.63	9.0	no age record available	no age record available	no age record available	no age record available	9.0	1.04		
657	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Graphiurinae,Graphiurus,Graphiurus murinus	Graphiurus murinus		51346	Woodland dormouse	Rodentia	1.0	24.0		6.35	6.9	no age record available	no age record available	no age record available	no age record available	6.9	1.09		
658	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Sciuromorpha,Gliridae,Muscardinus,Muscardinus avellanarius	Muscardinus avellanarius	Available	39082	Hazel dormouse	Rodentia	0.92	27.3		6.5	9.15	5.89	6.9	7.04	7.67	7.95	1.22	9.15	8.2
659	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Chaetodipus,Chaetodipus fallax	Chaetodipus fallax		145410	San Diego pocket mouse	Rodentia	0.45	18.7		6.06	8.3	no age record available	no age record available	no age record available	no age record available	8.3	1.37		
660	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Dipodomyinae,Dipodomys,Dipodomys ordii	Dipodomys ordii		10020	Ord's kangaroo rat	Rodentia	0.17	57.0		7.46	9.9	no age record available	no age record available	no age record available	no age record available	9.9	1.33		
661	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Dipodomyinae,Microdipodops,Microdipodops megacephalus	Microdipodops megacephalus		108149	Dark kangaroo mouse	Rodentia	0.34	13.4	Age at female sexual maturity filled using lineage; 	5.7	5.4	no age record available	no age record available	no age record available	no age record available	5.4	0.95		
662	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Chaetodipus,Chaetodipus formosus	Chaetodipus formosus		38678	Long-tailed pocket mouse	Rodentia	1.0	19.0		6.08	7.1	no age record available	no age record available	no age record available	no age record available	7.1	1.17		
663	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Castorimorpha,Heteromyidae,Perognathinae,Perognathus,Perognathus longimembris	Perognathus longimembris		38669	Little pocket mouse	Rodentia	0.41	8.0		5.18	8.3	no age record available	no age record available	no age record available	no age record available	8.3	1.6		
664	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hydrochaeridae,Hydrochoerus,Hydrochoerus hydrochaeris	Hydrochoerus hydrochaeris		10149	Capybara	Rodentia	1.25	55000.0		26.77	15.1	no age record available	no age record available	no age record available	no age record available	15.1	0.56		
665	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Atherurus,Atherurus africanus	Atherurus africanus		192881	African brush-tailed porcupine	Rodentia	0.94	2750.0	Age at female sexual maturity filled using lineage; 	15.34	22.92	no age record available	no age record available	no age record available	no age record available	22.92	1.49		
666	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Hystrix,Hystrix brachyura	Hystrix brachyura		143286	Malayan porcupine	Rodentia	0.89	8000.0		18.71	27.3	no age record available	no age record available	no age record available	no age record available	27.3	1.46		
667	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Hystricidae,Trichys,Trichys fasciculata	Trichys fasciculata		73865	Long-tailed porcupine	Rodentia	0.94	2000.0	Age at female sexual maturity filled using lineage; 	14.45	10.1	no age record available	no age record available	no age record available	no age record available	10.1	0.7		
668	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Deomyinae,Acomys,Acomys cahirinus	Acomys cahirinus		10068	Spiny mouse	Rodentia	0.16	45.2		7.14	5.9	no age record available	no age record available	no age record available	no age record available	5.9	0.83		
669	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Apodemus agrarius	Apodemus agrarius		39030	Striped field mouse	Rodentia	0.21	21.5		6.22	4.0	no age record available	no age record available	no age record available	no age record available	4.0	0.64		
670	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Sylvaemus group,Apodemus flavicollis	Apodemus flavicollis	Available	54292	Yellow-necked mouse	Rodentia	0.14	29.4		6.59	6.4	4.86	5.42	5.73	6.4	6.4	0.97	6.4	5.51
671	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Apodemus,Sylvaemus group,Apodemus sylvaticus	Apodemus sylvaticus	Available	10129	Long-tailed field mouse	Rodentia	0.19	23.4		6.32	6.3	3.75	3.92	4.05	4.23	6.3	1.0	4.23	3.7
672	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Arvicola,Arvicola sapidus	Arvicola sapidus		88454	Southwestern water vole	Rodentia	0.14	140.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	8.81	3.5	no age record available	no age record available	no age record available	no age record available	3.5	0.4		
673	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Arvicola,Arvicola amphibius	Arvicola amphibius	Available	1047088	European water vole	Rodentia	0.14	120.0		8.57	7.34	3.03	3.25	3.74	4.37	5.09	0.59	7.26	7.34
674	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Baiomys,Baiomys taylori	Baiomys taylori		56219	Northern pygmy mouse	Rodentia	0.12	8.0		5.18	3.3	no age record available	no age record available	no age record available	no age record available	3.3	0.64		
675	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Berylmys,Berylmys bowersi	Berylmys bowersi		83759	White-toothed rat	Rodentia	0.28	650.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	11.73	2.9	no age record available	no age record available	no age record available	no age record available	2.9	0.25		
676	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Spalacidae,Rhizomyinae,Cannomys,Cannomys badius	Cannomys badius		1392512	Lesser bamboo rat	Rodentia	0.41	650.0	Age at female sexual maturity filled using lineage; 	11.73	4.8	no age record available	no age record available	no age record available	no age record available	4.8	0.41		
677	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Myodes,Myodes glareolus	Myodes glareolus		447135	Bank vole	Rodentia	0.13	20.8		6.18	4.9	no age record available	no age record available	no age record available	no age record available	4.9	0.79		
678	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Colomys,Colomys goslingi	Colomys goslingi		119564	African water rat	Rodentia	0.28	58.5	Age at female sexual maturity filled using lineage; 	7.49	3.0	no age record available	no age record available	no age record available	no age record available	3.0	0.4		
679	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Cricetinae,Cricetus,Cricetus cricetus	Cricetus cricetus		10034	Black-bellied hamster	Rodentia	0.12	506.7		11.2	4.0	no age record available	no age record available	no age record available	no age record available	4.0	0.36		
680	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Delanymyinae,Delanymys,Delanymys Brooksi	Delanymys Brooksi		1392539	Delanys swamp mouse	Rodentia	0.66	531.16	Mass at adulthood filled using lineage; Age at female sexual maturity filled using lineage; Curated max low relative to order, likely underestimation;	11.3	2.0	no age record available	no age record available	no age record available	no age record available	2.0	0.18		
681	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Dendromurinae,Dendromus,Dendromus mesomelas	Dendromus mesomelas		234629	Brant's climbing mouse	Rodentia	0.66	13.0	Age at female sexual maturity filled using lineage; 	5.66	3.3	no age record available	no age record available	no age record available	no age record available	3.3	0.58		
682	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Dicrostonyx,Dicrostonyx torquatus	Dicrostonyx torquatus		85952	Arctic lemming	Rodentia	0.25	85.0		8.03	3.8	no age record available	no age record available	no age record available	no age record available	3.8	0.47		
683	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Craseomys,Craseomys smithii	Craseomys smithii		3369792	Pere Davids vole	Rodentia	0.18	35.0	Mass filled from web encyclopedia; Age at female sexual maturity filled using lineage; 	6.81	3.5	no age record available	no age record available	no age record available	no age record available	3.5	0.51		
684	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Gerbillus,Gerbillus pyramidum	Gerbillus pyramidum		298882	Greater Egyptian gerbil	Rodentia	0.2	37.0		6.88	8.2	no age record available	no age record available	no age record available	no age record available	8.2	1.19		
685	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Grammomys,Grammomys dolichurus	Grammomys dolichurus		491754	Woodland mouse	Rodentia	0.2	60.0		7.53	4.4	no age record available	no age record available	no age record available	no age record available	4.4	0.58		
686	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Lemmus,Lemmus lemmus	Lemmus lemmus		79949	Norway lemming	Rodentia	0.07	70.0		7.75	3.3	no age record available	no age record available	no age record available	no age record available	3.3	0.43		
687	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Lemniscomys,Lemniscomys striatus	Lemniscomys striatus		121567	Typical striped grass mouse	Rodentia	0.46	42.3		7.06	4.8	no age record available	no age record available	no age record available	no age record available	4.8	0.68	2.5	
688	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Lenothrix,Lenothrix cana	Lenothrix cana		3370147	Gray tree rat	Rodentia	0.28	177.0	Age at female sexual maturity filled using lineage; 	9.21	3.8	no age record available	no age record available	no age record available	no age record available	3.8	0.41		
689	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Lophiomyinae,Lophiomys,Lophiomys imhausi	Lophiomys imhausi		248799	Crested rat	Rodentia	0.25	755.0		12.06	7.5	no age record available	no age record available	no age record available	no age record available	7.5	0.62		
690	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones crassus	Meriones crassus		298887	Sundevall's jird	Rodentia	0.17	35.0		6.81	5.6	no age record available	no age record available	no age record available	no age record available	5.6	0.82		
691	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Meriones,Meriones unguiculatus	Meriones unguiculatus		10047	Mongolian jird	Rodentia	0.12	53.2		7.36	6.3	no age record available	no age record available	no age record available	no age record available	6.3	0.86		
692	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Mesembriomys,Mesembriomys gouldii	Mesembriomys gouldii		337228	Black-footed tree rat	Rodentia	0.19	900.0		12.46	7.8	no age record available	no age record available	no age record available	no age record available	7.8	0.63		
693	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Cricetinae,Mesocricetus,Mesocricetus auratus	Mesocricetus auratus	Available	10036	Golden hamster	Rodentia	0.13	105.0		8.35	10.0	3.04	3.57	3.94	4.63	4.82	0.58	5.55	5.02
694	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Micromys,Micromys minutus	Micromys minutus		13151	Old World harvest mouse	Rodentia	0.11	6.0		4.91	5.0	no age record available	no age record available	no age record available	no age record available	5.0	1.02		
695	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtus,Microtus agrestis	Microtus agrestis		29092	Field vole	Rodentia	0.1	46.0		7.17	4.8	no age record available	no age record available	no age record available	no age record available	4.8	0.67		
696	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtus,Microtus arvalis	Microtus arvalis		47230	Common vole	Rodentia	0.1	27.5		6.51	4.8	no age record available	no age record available	no age record available	no age record available	4.8	0.74		
697	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtus,Microtus guentheri	Microtus guentheri		269655	Guenther's vole	Rodentia	0.16	51.6		7.32	3.9	no age record available	no age record available	no age record available	no age record available	3.9	0.53		
698	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Microtus,Microtus pinetorum	Microtus pinetorum		111839	Woodland vole	Rodentia	0.27	25.5		6.42	3.8	no age record available	no age record available	no age record available	no age record available	3.8	0.59		
699	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Mus,Nannomys,Mus minutoides	Mus minutoides		10105	Southern African pygmy mouse, or Pygmy mouse	Rodentia	0.16	7.2		5.08	4.3	no age record available	no age record available	no age record available	no age record available	4.3	0.85		
700	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Mus,Mus,Mus musculus	Mus musculus	Available	10090	House mouse	Rodentia	0.11	20.5		6.17	6.0	2.82	3.64	3.65	4.08	4.28	0.69	4.98	5.07
701	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Mystromyinae,Mystromys,Mystromys albicaudatus	Mystromys albicaudatus		56239	White-tailed mouse	Rodentia	0.3	106.0		8.37	6.3	no age record available	no age record available	no age record available	no age record available	6.3	0.75		
702	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotoma,Neotoma albigula	Neotoma albigula		42408	White-throated woodrat	Rodentia	0.23	209.0		9.5	9.5	no age record available	no age record available	no age record available	no age record available	9.5	1.0		
703	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Neotoma,Neotoma floridana	Neotoma floridana	Available	42409	Eastern woodrat	Rodentia	0.26	291.0		10.1	8.6	7.1	7.85	7.88	8.23	8.36	0.83	8.6	8.39
704	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Notomys,Notomys alexis	Notomys alexis		184396	Spinifex hopping mouse	Rodentia	0.21	35.0		6.81	6.4	no age record available	no age record available	no age record available	no age record available	6.4	0.94		
705	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Tylomyinae,Nyctomys,Nyctomys sumichrasti	Nyctomys sumichrasti		56227	Vesper rat	Rodentia	0.22	50.0	Age at female sexual maturity filled using lineage; 	7.28	5.7	no age record available	no age record available	no age record available	no age record available	5.7	0.78		
706	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Ochrotomys,Ochrotomys nuttalli	Ochrotomys nuttalli		56229	Golden mouse	Rodentia	0.23	22.0	Age at female sexual maturity filled using lineage; 	6.25	8.42	no age record available	no age record available	no age record available	no age record available	8.42	1.35	8.4	
707	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Ondatra,Ondatra zibethicus	Ondatra zibethicus	Available	10060	Muskrat	Rodentia	0.78	1362.0		13.46	10.0	5.04	8.47	8.48	8.49	10.0	0.74	8.47	8.49
708	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Onychomys,Onychomys leucogaster	Onychomys leucogaster		38668	Northern grasshopper mouse	Rodentia	0.27	32.5		6.72	5.6	no age record available	no age record available	no age record available	no age record available	5.6	0.83		
709	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Onychomys,Onychomys torridus	Onychomys torridus	Available	38674	Southern grasshopper mouse	Rodentia	0.11	22.0		6.25	4.9	4.08	4.3	4.52	4.66	4.9	0.74	4.43	4.9
710	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Sigmodontinae,Oxymycterus,Oxymycterus rufus	Oxymycterus rufus		56230	Burrowing mouse	Rodentia	0.14	82.55	Mass at adulthood filled using lineage; Age at female sexual maturity filled using lineage; 	7.99	2.6	no age record available	no age record available	no age record available	no age record available	2.6	0.33		
711	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Pachyuromys,Pachyuromys duprasi	Pachyuromys duprasi		298894	Fat-tailed gerbil	Rodentia	0.15	40.0		6.98	8.3	no age record available	no age record available	no age record available	no age record available	8.3	1.19		
712	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Neotominae,Peromyscus,Peromyscus maniculatus	Peromyscus maniculatus	Available	10042	Deer mouse	Rodentia	0.13	20.5		6.17	8.3	4.56	4.97	4.99	5.29	5.45	0.88	5.25	5.93
713	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Cricetinae,Phodopus,Phodopus sungorus	Phodopus sungorus		10044	Dzhungarian hamster	Rodentia	0.33	23.4		6.32	3.9	no age record available	no age record available	no age record available	no age record available	3.9	0.62		
714	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pogonomys,Pogonomys macrourus	Pogonomys macrourus		442600	Chestnut pogonomys, or Long-tailed tree mouse	Rodentia	0.28	57.0	Age at female sexual maturity filled using lineage; 	7.46	3.1	no age record available	no age record available	no age record available	no age record available	3.1	0.42		
715	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Praomys,Praomys tullbergi	Praomys tullbergi		209869	Tullberg's praomys, or Tullberg's rock rat	Rodentia	0.22	30.0		6.62	5.2	no age record available	no age record available	no age record available	no age record available	5.2	0.79		
716	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Pseudomys,Pseudomys australis	Pseudomys australis		187268	Plains mouse, or Australian native mouse	Rodentia	0.4	65.0		7.64	7.9	no age record available	no age record available	no age record available	no age record available	7.9	1.03		
717	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rattus,Rattus rattus	Rattus rattus	Available	10117	Rat	Rodentia	0.25	200.0		9.42	7.53	3.39	3.97	5.14	6.64	6.99	0.74	7.53	7.53
718	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Sigmodontinae,Reithrodon,Reithrodon auritus	Reithrodon auritus		56234	Bunny, or Coney rat	Rodentia	0.17	72.2		7.79	5.5	no age record available	no age record available	no age record available	no age record available	5.5	0.71		
719	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Rhabdomys,Rhabdomys pumilio	Rhabdomys pumilio		121573	Four-striped grass mouse	Rodentia	0.11	51.0		7.3	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.62		
720	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Rhombomys,Rhombomys opimus	Rhombomys opimus		186474	Great gerbil	Rodentia	0.29	285.0		10.06	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.45	4.0	3.0
721	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Nesomyidae,Cricetomyinae,Saccostomus,Saccostomus campestris	Saccostomus campestris		122953	Pouched mouse	Rodentia	0.12	47.4		7.21	4.5	no age record available	no age record available	no age record available	no age record available	4.5	0.62		
722	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Sekeetamys,Sekeetamys calurus	Sekeetamys calurus		298884	Bushy-tailed jird	Rodentia	0.24	65.0	Age at female sexual maturity filled using lineage; 	7.64	7.3	no age record available	no age record available	no age record available	no age record available	7.3	0.96		
723	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Sigmodontinae,Sigmodon,Sigmodon hispidus	Sigmodon hispidus	Available	42415	Hispid cotton rat	Rodentia	0.11	185.0		9.28	5.2	2.63	3.0	3.28	3.66	5.2	0.56	3.84	3.48
724	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Sundamys,Sundamys muelleri	Sundamys muelleri		83761	Mueller's giant Sunda rat	Rodentia	0.28	334.0	Age at female sexual maturity filled using lineage; Curated max low relative to order, likely underestimation;	10.36	2.0	no age record available	no age record available	no age record available	no age record available	2.0	0.19		
725	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Arvicolinae,Synaptomys,Synaptomys cooperi	Synaptomys cooperi		364155	Southern bog lemming	Rodentia	0.18	27.0	Age at female sexual maturity filled using lineage; 	6.49	2.5	no age record available	no age record available	no age record available	no age record available	2.5	0.39		
726	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Gerbillinae,Tatera,Tatera indica	Tatera indica		186471	Indian gerbil	Rodentia	0.21	146.7		8.89	7.0	no age record available	no age record available	no age record available	no age record available	7.0	0.79		
727	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,Thallomys,Thallomys paedulcus	Thallomys paedulcus		332673	Acacia rat	Rodentia	0.3	80.0		7.94	3.5	no age record available	no age record available	no age record available	no age record available	3.5	0.44		
728	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Myomorpha,Muroidea,Cricetidae,Tylomyinae,Tylomys,Tylomys nudicaudus	Tylomys nudicaudus		218839	Peters's climbing rat	Rodentia	0.22	280.0		10.03	5.4	no age record available	no age record available	no age record available	no age record available	5.4	0.54		
729	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Myocastoridae,Myocastor,Myocastor coypus	Myocastor coypus		10157	Nutria	Rodentia	0.42	7850.0		18.64	19.0	no age record available	no age record available	no age record available	no age record available	19.0	1.02		
730	Theria,Eutheria,Boreoeutheria,Euarchontoglires,Glires,Rodentia,Hystricomorpha,Octodontidae,Octodon,Octodon degus	Octodon degus	Available	10160	Degu	Rodentia	0.5	235.0		9.71	16.0	7.63	8.73	9.42	10.66	11.66	1.2	16.0	15.03
